Unnamed: 0,label_type,start_pos,end_pos,entities,originalText
80,"['试验要素', '试验要素', '试验要素', '系统组成', '系统组成', '系统组成', '系统组成', '系统组成', '试验要素', '试验要素']","[7, 11, 18, 31, 35, 39, 42, 46, 110, 129]","[9, 13, 28, 33, 37, 40, 44, 51, 127, 147]","巡洋舰;驱逐舰;""宙斯盾""舰载作战系统;传感器;计算机;软件;显示器;武器发射系统;""提康德罗加""级巡洋舰(cg-47);""阿利·伯克""级驱逐舰(ddg-51)","大部分美国海军巡洋舰和驱逐舰都装备了""宙斯盾""舰载作战系统--传感器,计算机,软件,显示器及武器发射系统的综合集成,因此被称为""宙斯盾""舰,""宙斯盾""系统于1983年首次部署,此后经过数次升级,美国海军的""宙斯盾""舰包括""提康德罗加""级巡洋舰(cg-47)和""阿利·伯克""级驱逐舰(ddg-51)。"
81,"['试验要素', '试验要素', '系统组成', '试验要素', '试验要素', '试验要素', '性能指标', '试验要素']","[3, 19, 53, 81, 91, 131, 153, 162]","[17, 30, 64, 86, 113, 141, 160, 165]","""地基中段防御""(gmd)系统;""地基拦截弹""(gbi);大气层外杀伤器(ekv);控制飞行试验;""能力增强-2""(ce-2)型ekv姿轨控系统;空射型中程弹道导弹靶弹;带有对抗措施目标;识别技术","为改善""地基中段防御""(gmd)系统中""地基拦截弹""(gbi)的性能,美国导弹防御局重点对gbi的关键部件大气层外杀伤器(ekv)进行了试验验证,1月28日,通过控制飞行试验对改进的""能力增强-2""(ce-2)型ekv姿轨控系统进行了试验验证,本次试验首次使用了空射型中程弹道导弹靶弹,验证了gmd系统应对带有对抗措施目标的识别技术。"
82,"['试验要素', '试验要素', '试验要素', '试验要素', '系统组成', '系统组成', '系统组成', '试验要素', '系统组成', '性能指标']","[23, 64, 90, 108, 133, 192, 217, 248, 281, 292]","[42, 82, 100, 117, 137, 204, 223, 268, 287, 299]","""提康德罗加""级巡洋舰(cg47~73);""阿利·伯克""级驱逐舰(ddg-51);flighti/ii型;flightiia型;直升机机库;防空反导雷达(spy-6);spy-1雷达;""朱姆沃尔特""级驱逐舰(ddg-1000);""宙斯盾""系统;弹道导弹防御能力","美海军在1978~1988财年间共采购了27艘""提康德罗加""级巡洋舰(cg47~73),在1985~2005财年间共采购了62艘""阿利·伯克""级驱逐舰(ddg-51),首批28艘为flighti/ii型,后续34艘为flightiia型,进行了一些设计改进,包括引入直升机机库,在2010~2019财年共采购了20艘新版的flightiii型号,flightiii型ddg-51装备了防空反导雷达(spy-6),比此前的""宙斯盾""舰的spy-1雷达性能更为先进,在2006~2009财年采购了3艘""朱姆沃尔特""级驱逐舰(ddg-1000),ddg-1000未采用""宙斯盾""系统,不具备弹道导弹防御能力。"
83,"['试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景', '试验要素', '任务场景']","[0, 23, 32, 41, 51, 68, 76, 111]","[12, 29, 39, 49, 62, 74, 90, 116]","""宙斯盾""弹道导弹防御系统;战区级弹道导弹;短程(srbm);准中程(mrbm);中程弹道导弹(irbm);战区级弹道导弹;""宙斯盾""弹道导弹防御系统雷达;洲际导弹导弹","""宙斯盾""弹道导弹防御系统最初设计主要用于拦截战区级弹道导弹,即短程(srbm),准中程(mrbm)和中程弹道导弹(irbm),除了拦截战区级弹道导弹,""宙斯盾""弹道导弹防御系统雷达的探测和跟踪数据还可以传递给其他用于拦截洲际导弹导弹的防御系统。"
84,"['任务场景', '任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '性能指标']","[1, 9, 16, 22, 35, 49, 64, 80, 116, 126]","[5, 14, 19, 33, 46, 60, 76, 97, 123, 133]","DELETE;弹道导弹防御;拦截导弹;""标准""-3(sm-3);""标准""-2(sm-2);""标准""-6(sm-6);""宙斯盾""弹道导弹防御系统;""标准""-3blockiia拦截导弹;弹道导弹防御系统;洲际弹道导弹拦截","""宙斯盾""舰上用于弹道导弹防御的拦截导弹包括""标准""-3(sm-3),""标准""-2(sm-2)以及""标准""-6(sm-6),随着""宙斯盾""弹道导弹防御系统的新型""标准""-3blockiia拦截导弹的出现,美国国防部正在评估""宙斯盾""弹道导弹防御系统用于洲际弹道导弹拦截的潜力。"
85,"['任务场景', '任务场景', '任务场景', '任务场景', '系统组成', '系统组成', '试验要素', '试验要素', '试验要素', '试验要素']","[1, 9, 15, 22, 29, 51, 85, 97, 105, 124]","[5, 12, 18, 25, 42, 54, 92, 103, 111, 132]","标准""-3;大气层外;飞行中段;弹道导弹;""直接碰撞杀伤""式动能战斗部;导弹弹头;""标准""-3导弹;blockia;blockib;blockiia型","""标准""-3用于在大气层外拦截飞行中段的各类弹道导弹,配备""直接碰撞杀伤""式动能战斗部,通过撞击使敌方导弹弹头失效,美国导弹防御局和海军计划在未来几年内部署能力更强的新型""标准""-3导弹,在当前blockia和blockib的基础上,未来几年将补充blockiia型。"
86,"['任务场景', '系统组成', '系统组成', '系统组成', '系统组成', '系统组成', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标']","[1, 17, 21, 29, 34, 66, 85, 107, 115, 125, 138]","[15, 19, 25, 32, 42, 68, 86, 108, 116, 126, 144]","lockib型""标准""-3导弹;导引头;信号处理器;运动轨迹;转向/高度控制系统;助推段;弹体;射程;射高;速度;中近程弹道导弹","blockib型""标准""-3导弹的导引头,信号处理器,调整运动轨迹的转向/高度控制系统都得到了改进,blockia和blockib的助推段直径21英寸(53.34厘米),弹体直径13.5英尺(34.29厘米),最大射程500千米,射高400千米,最大速度3.5千米/秒,可拦截中近程弹道导弹。"
87,"['试验要素', '系统组成', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标']","[0, 24, 33, 36, 58, 74, 79]","[16, 26, 34, 37, 59, 76, 84]","blockiia型""标准""-3导弹;发动机;射程;射高;速度;中远程;洲际弹道导弹","blockiia型""标准""-3导弹直径21英寸,发动机更大,导弹的射程和射高分别提升至1200千米和800千米,最大速度也超过4.5千米/秒,可拦截中远程甚至洲际弹道导弹,目前,blockiia型正在进行测试。"
88,"['任务场景', '任务场景', '试验要素', '系统组成', '任务场景', '任务场景', '任务场景', '任务场景', '试验要素', '任务场景', '性能指标', '任务场景', '任务场景']","[1, 22, 25, 45, 54, 60, 65, 93, 99, 111, 134, 144, 154]","[17, 23, 32, 49, 56, 63, 68, 95, 108, 119, 137, 152, 159]","标准""-2blockiv反导拦截弹;防空;""标准""-2导弹;杀爆战斗部;大气层;弹道末段;弹道导弹;拦截弹;""标准""-6防空导弹;标准""-2防空导弹;反导作战;美海军大型水面舰艇;反舰弹道导弹","""标准""-2blockiv反导拦截弹是由用于防空的""标准""-2导弹改进的过渡型拦截弹,配备杀爆战斗部,用于在大气层内拦截弹道末段的弹道导弹,美国导弹防御局和海军正在列装一型能力更强的末段拦截弹,是在""标准""-6防空导弹(""标准""-2防空导弹的后续型号)的基础上研制,其反导作战主要针对攻击美海军大型水面舰艇的反舰弹道导弹。"
89,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '试验要素']","[28, 42, 55, 76, 83, 106, 113, 118]","[40, 47, 60, 80, 86, 109, 116, 121]",lav-25a2轻型装甲车;空投认证试验;作战战术程序;轻型装甲车;空投试验;维修工具;保障装备;空投试验,"1月,美国陆军作战试验司令部联合3旅75团的一个排完成了lav-25a2轻型装甲车的空投认证试验,试验完全按照作战战术程序进行,具体指挥由排长负责,在对轻型装甲车进行空投试验的同时,陆军作战试验司令部还同时进行了维修工具和相关保障装备的空投试验。"
90,"['任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '任务场景']","[1, 15, 29, 51, 68, 89, 103, 114, 176, 195, 198]","[12, 22, 32, 56, 76, 101, 108, 117, 183, 196, 200]","宙斯盾""弹道导弹防御系统;""标准""-3导弹;拦截试验;""宙斯盾""舰;""宙斯盾""岸基系统;""标准""-2blockiv;""标准""-6;大气层内;""标准""-3导弹;美国;视卫星","""宙斯盾""弹道导弹防御系统使用""标准""-3导弹进行了42次拦截试验,成功了33次(其中5次试验由日本的""宙斯盾""舰实施,成功4次;3次由""宙斯盾""岸基系统实施,成功2次),还使用""标准""-2blockiv和""标准""-6进行了7次大气层内拦截并全部成功,以上总计试验49次,成功40次,此外,在2008年2月20日,位于夏威夷西北部的一艘""宙斯盾""舰发射""标准""-3导弹,成功击毁了一颗失效的美国监视卫星。"
91,"['任务场景', '任务场景', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标', '任务场景', '任务场景', '任务场景']","[1, 18, 39, 53, 66, 73, 81, 96, 99, 102]","[14, 23, 41, 55, 69, 75, 82, 97, 100, 105]",地攻击巡航导弹(lacms);军事打击武器;亚音速;超音速;高超声速;亚音速;贴地;飞机;地面;海军平台,"对地攻击巡航导弹(lacms)是高效军事打击武器,当前大部分lacms导弹采用亚音速设计,但也有一小部分可超音速飞行,未来一些导弹可高超声速飞行,亚音速巡航导弹可贴地飞行,从多个方向打击目标,飞机,地面和海军平台都可发射lacms。"
92,"['试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '系统组成']","[8, 13, 30, 46, 57, 79]","[11, 16, 44, 52, 59, 85]",弹道导弹;巡航导弹;高超声速滑翔飞行器(hgvs);无动力巡航导弹;超声速;大型火箭助推器,"一些武器同时拥有弹道导弹和巡航导弹特征,例如,弹道导弹发射的高超声速滑翔飞行器(hgvs),无动力巡航导弹等,未来超声速和高超声速巡航导弹或可从传统弹道导弹的大型火箭助推器发射。"
93,"['试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景']","[2, 20, 24, 40, 48, 56, 66, 70, 81]","[11, 22, 36, 44, 54, 58, 68, 73, 82]",导弹防御系统地面试验;拦截弹;通信系统数据终端(idt);gmd系统;gmd火控节点;ekv;ekv;飞行阶段;数据,"通过导弹防御系统地面试验,支持在飞行中将拦截弹的通信系统数据终端(idt)集成至gmd系统,用于gmd火控节点与ekv进行通信,确保ekv在飞行阶段快速传送和接收数据。"
94,"['任务场景', '试验要素', '系统组成', '系统组成', '系统组成', '性能指标', '任务场景', '系统组成', '系统组成', '性能指标', '任务场景', '系统组成', '试验要素', '任务场景', '任务场景', '试验要素', '任务场景', '性能指标']","[1, 5, 12, 21, 27, 34, 42, 47, 49, 56, 69, 74, 80, 84, 86, 95, 100, 108]","[3, 8, 19, 24, 28, 37, 42, 47, 54, 62, 70, 78, 81, 84, 89, 96, 103, 109]",道导弹;巡航导弹;常规和非常规弹头;常规弹头;弹药;杀伤效果;DELETE;DELETE;DELETE;规模杀伤性弹头;设备;非致命弹头;常规;DELETE;化学武器;弹头;小型炸弹;高度,"弹道导弹和巡航导弹可携带常规和非常规弹头,常规弹头依靠弹药的爆炸产生杀伤效果,非传统弹头主要指核,生物,化学等大规模杀伤性弹头,以及旨在使设备损坏的非致命弹头,常规,生物和化学武器可装在一个弹头或多个小型炸弹中在一定高度释放。"
95,"['试验要素', '任务场景', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '性能指标']","[4, 20, 25, 44, 56, 87, 109, 124]","[16, 22, 32, 51, 61, 94, 116, 128]","""宙斯盾""基线9.c1系统;大气层;复杂中程弹道导弹;""标准-6""导弹;中程弹道导弹;""标准-3""导弹;""标准-3""导弹;实战稳定性","美军使用""宙斯盾""基线9.c1系统首次在大气层内对复杂中程弹道导弹进行了跟踪,为后续开展""标准-6""导弹末段拦截中程弹道导弹的试验奠定基础,在发展新能力的同时,美国还通过改进""标准-3""导弹,进一步提高""宙斯盾""系统与""标准-3""导弹中段拦截能力的实战稳定性。"
96,"['试验要素', '试验要素', '试验要素', '性能指标', '任务场景', '性能指标']","[8, 27, 48, 75, 88, 94]","[25, 41, 53, 78, 91, 96]","改进型mk136第三级火箭发动机喷嘴;""标准-3""block1b导弹;控制飞行试验;飞行场景;实战环境;可靠性","导弹防御局对装备改进型mk136第三级火箭发动机喷嘴的""标准-3""block1b导弹进行了一系列控制飞行试验,此项改进有助于提升""标准-3""导弹在不同飞行场景下的性能,增强其在实战环境中的可靠性。"
97,"['试验要素', '性能指标', '性能指标', '性能指标', '性能指标', '试验要素', '系统组成', '系统组成', '系统组成', '试验要素', '性能指标', '任务场景', '任务场景', '任务场景', '系统组成', '系统组成', '性能指标']","[3, 11, 14, 18, 23, 41, 49, 52, 55, 73, 87, 99, 105, 113, 129, 133, 152]","[9, 12, 16, 21, 26, 47, 50, 53, 58, 84, 92, 103, 110, 116, 131, 141, 155]","""爱国者""系统;飞机;无人机;巡航导弹;弹道导弹;""爱国者""系统;导弹;雷达;相关系统;""爱国者-3""mse导弹;初始作战能力;""爱国者"";""萨德""系统;火力缝隙;氮化[UNK];有源电扫相控阵雷达;探测能力","为提高""爱国者""系统对飞机,无人机,巡航导弹和弹道导弹等各种威胁的作战能力,美国对""爱国者""系统的导弹,雷达和相关系统进行了全面升级,在导弹方面,""爱国者-3""mse导弹具备初始作战能力,有效填补了""爱国者""和""萨德""系统间的火力缝隙;在雷达方面,部署了基于氮化镓的有源电扫相控阵雷达,使系统具备360°探测能力。"
98,"['试验要素', '试验要素', '试验要素', '性能指标', '系统组成', '系统组成']","[1, 18, 33, 46, 95, 109]","[7, 30, 39, 49, 101, 117]","""爱国者""系统;pdb-8软件系统研发试验;""爱国者""系统;巡航导弹;密码现代化工具;通信和数据存储单元","在""爱国者""系统的软件方面,完成了对pdb-8软件系统研发试验,为""爱国者""系统反弹道导弹和巡航导弹拦截作战提供支持,为防止相关技术被潜在的敌人获取,美陆军还要求雷声公司为""爱国者""系统提供密码现代化工具,以保护系统的通信和数据存储单元。"
99,"['试验要素', '试验要素', '试验要素', '任务场景', '试验要素', '任务场景', '试验要素']","[2, 23, 88, 105, 111, 126, 136]","[7, 36, 94, 106, 119, 132, 140]",高超声速武器;远程精确火力(lrpf)项目;全系统飞行试验;海军;高超声速导弹助推器;海/陆/空三军;滑翔飞行器,"发展高超声速武器是美陆军现代化高优先级任务--远程精确火力(lrpf)项目的一部分,美陆军计划从2020财年开始的未来五年内为lrhw项目投入12亿美元,预计在2023财年完成全系统飞行试验,此外,美陆军正在与海军合作研发高超声速导弹助推器,并开始建造海/陆/空三军通用的滑翔飞行器。"
